Bytes, Url
4422253,   "http://sgpc.net/puratan-kirtan/Balbir Singh/anand sahib ramkali.mp3",
7622998,   "http://sgpc.net/puratan-kirtan/Balbir Singh/at pritam man mohna.mp3",
5539876,   "http://sgpc.net/puratan-kirtan/Balbir Singh/bisar gyi sabh tat parayi guldasta kauns.mp3",
12500182,   "http://sgpc.net/puratan-kirtan/Balbir Singh/hal muridan da kehna.mp3",
16847325,   "http://sgpc.net/puratan-kirtan/Balbir Singh/jhagardang nagardang bhagardang baje.mp3",
23747947,   "http://sgpc.net/puratan-kirtan/Balbir Singh/kat jaiye re ghar lago rang.mp3",
16471828,   "http://sgpc.net/puratan-kirtan/Balbir Singh/maerae preethamaa ho jeevaa naam dhhiaae partal sri raga.mp3",
10280278,   "http://sgpc.net/puratan-kirtan/Balbir Singh/meri abe benti sun leejai.mp3",
20145907,   "http://sgpc.net/puratan-kirtan/Balbir Singh/mitter pyare nu hal mureedan da kehna.mp3",
16312023,   "http://sgpc.net/puratan-kirtan/Balbir Singh/naaraaein nindhas kaae bhoolee gavaaree.mp3",
6955099,   "http://sgpc.net/puratan-kirtan/Balbir Singh/nirjur niru ho ke sundar sarup ho.mp3",
13236310,   "http://sgpc.net/puratan-kirtan/Balbir Singh/pati tore malini.mp3",
9048406,   "http://sgpc.net/puratan-kirtan/Balbir Singh/puta mata ki asees.mp3",
6791638,   "http://sgpc.net/puratan-kirtan/Balbir Singh/tadr dani tum dani short.mp3",
5387545,   "http://sgpc.net/puratan-kirtan/Balbir Singh/tadr dani tum dani talal tum terena.mp3",
14433517,   "http://sgpc.net/puratan-kirtan/Balbir Singh/thum ravahu gobindhai ravan jog.mp3",
10268374,   "http://sgpc.net/puratan-kirtan/Balbir Singh/trin te mer karo.mp3",
5152342,   "http://sgpc.net/puratan-kirtan/Balbir Singh/tu kun re mai ji nama eh.mp3",
62968918,   "http://sgpc.net/puratan-kirtan/Balbir Singh/veer ras shabads.mp3",
16922627,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/AAA2%2520AW2%5B1%5D.mp3",
15567812,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/AAA3%2520AW3%5B1%5D.mp3",
16790343,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/AAA5%2520AW5%5B1%5D.mp3",
9225699,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/AAA6%2520AW6%5B1%5D.mp3",
15656524,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/AAA7%2520AW7%5B1%5D.mp3",
8479091,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/aisi%2520lal%2520tujh%2520bin%2520koun%2520kare%5B1%5D.mp3",
1578771,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/apney%2520sevak%2520ki%2520apey%2520rakhey%5B1%5D.mp3",
8902976,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/avval%2520allah%2520nur%2520upaya%5B1%5D.mp3",
45158995,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/Bhai%2520Bakhshish%2520Singh%2520Jee%2520Raag%2520Maalha%2520A%5B1%5D.mp3",
9146380,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/Bhai%2520Bakhshish%2520Singh%2520Jee%2520Raag%2520Maalha%2520B%5B1%5D.mp3",
4777950,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/Bhai%2520Bakshish%2520Singh%2520Jee%2520B%5B1%5D.mp3",
9936021,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/bhainey%2520sawan%2520aaya%5B1%5D.mp3",
15186006,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/BHAKSHISH SINGH.mp3",
833023,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/binsee%2520dutiya%2520soch%5B1%5D.mp3",
5331783,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/chetna%2520hai%2520to%2520chet%2520lai%5B1%5D.mp3",
1717848,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/farida%2520umar%2520suhavadi%5B1%5D.mp3",
1490588,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/gareeb%2520nivaj%2520goasinya%2520mera%5B1%5D.mp3",
6280654,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/gayiye%2520gun%2520gopal%2520kirpa%2520nidh%5B1%5D.mp3",
4690169,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/gur%2520darshan%2520dekh%2520nihali%5B1%5D.mp3",
1161428,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/gur%2520poora%2520jinn%2520simrya%5B1%5D.mp3",
2222548,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/halley%2520yarah%2520halley%2520yara%2520khush%2520khabari%5B1%5D.mp3",
2041984,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/ham%2520sarr%2520deen%2520dyal%2520na%2520tum%2520sar%5B1%5D.mp3",
3910868,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/hamri%2520ganat%2520na%2520ganiya%2520kai%5B1%5D.mp3",
7905113,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/har%2520bin%2520jeo%2520jall%2520ball%2520joun%5B1%5D.mp3",
4999248,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/har%2520charan%2520kamal%2520ki%2520tek%5B1%5D.mp3",
2974861,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/har%2520jas%2520re%2520mana%2520gaile%5B1%5D.mp3",
5102383,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/haum%2520bhikhat%2520bhikhari%2520tere%5B1%5D.mp3",
5652775,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/houn%2520tumri%2520karo%2520nit%2520aas%5B1%5D.mp3",
6938059,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/jaka meet sajan hai sammiya.mp3",
5677590,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/jan%2520leho%2520man%2520mahi%5B1%5D.mp3",
8517100,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/kahe%2520man%2520tu%2520dolta%5B1%5D.mp3",
5457542,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/kahe%2520re%2520ban%2520khojan%2520jayee%5B1%5D.mp3",
4329368,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/kiaa%2520jana%2520kiaa%2520hoega%2520ri%2520mai%5B1%5D.mp3",
9169007,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/mai%2520mai%2520dhan%2520payo%2520har%2520nam%5B1%5D.mp3",
2586104,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/man%2520mero%2520dhavan%2520te%2520chutiyo%5B1%5D.mp3",
4857249,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/man%2520preet%2520charan%2520kamalare%5B1%5D.mp3",
4798885,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/man%2520tan%2520khoji%5B1%5D.mp3",
9683051,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/mera%2520man%2520alasia%5B1%5D.mp3",
5035612,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/nanak%2520bejuliyan%2520chamkan%25202%5B1%5D.mp3",
5234039,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/nanak%2520bejuliyan%2520chamkan%25203%5B1%5D.mp3",
3740146,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/nanak%2520bejuliyan%2520chamkan%5B1%5D.mp3",
10339199,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/narayan%2520narpat%2520namaskare%25202%5B1%5D.mp3",
7899460,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/pati%2520tore%2520malini%5B1%5D.mp3",
7361497,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/pavat%2520rallian%2520joban%2520ballian%5B1%5D.mp3",
4137778,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/prabh%2520ki%2520saran%2520bicharo%2520man%2520re%5B1%5D.mp3",
5937781,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/prabh%2520milbe%2520ko%2520prit%2520man%2520lagi%5B1%5D.mp3",
4477956,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/sabhai jee samal.mp3",
4598578,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/sabhai jee samal apni mehr kar.mp3",
4238774,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/sach%2520kaho%2520sun%2520leho%2520sabhai%5B1%5D.mp3",
1319432,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/sadho%2520eh%2520tan%2520mithia%2520jano%5B1%5D.mp3",
3477925,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/sajan%2520des%2520videsiyade%25202%5B1%5D.mp3",
3393341,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/sajan%2520des%2520videsiyde%5B1%5D.mp3",
6305892,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/sajanra%2520mere%2520sajanra%5B1%5D.mp3",
2552308,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/santan%2520ke%2520karaj%2520ap%2520khaloya%5B1%5D.mp3",
9485624,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/santo%2520ramdas%2520sarovar%2520nika%5B1%5D.mp3",
6471297,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/sawal%2520sundar%2520ramiya%5B1%5D.mp3",
6614186,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/sukh%2520hove%2520din%2520rati%5B1%5D.mp3",
3109285,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/sun%2520beti%2520prabh%2520deen%2520dyala%5B1%5D.mp3",
9025079,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/tere%2520banke%2520loen%5B1%5D.mp3",
4411436,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/tere%2520bharose%2520pyare%5B1%5D.mp3",
5532716,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/teri%2520kudrat%2520tuhi%2520janey%5B1%5D.mp3",
4891672,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/trisna%2520bujhey%5B1%5D.mp3",
6935805,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/tu%2520meri%2520sobha%25202%5B1%5D.mp3",
7142728,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/tu%2520meri%2520sobha%5B1%5D.mp3",
5401110,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/varsey%2520megh%2520sakhi%5B1%5D.mp3",
5946496,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/zahar%2520pir%2520jagat%2520gur%2520baba%5B1%5D.mp3",
7499988,   "http://sgpc.net/puratan-kirtan/chater singh/Aaj more aayen hain.mp3",
13203041,   "http://sgpc.net/puratan-kirtan/chater singh/Aaye mil gursikh aaye mil.mp3",
21932118,   "http://sgpc.net/puratan-kirtan/chater singh/Aisa prabh tyag avar kat laago.mp3",
10999560,   "http://sgpc.net/puratan-kirtan/chater singh/Aisee preet gobind sio laagi.mp3",
21347393,   "http://sgpc.net/puratan-kirtan/chater singh/Akhin vekh na rajiyan.mp3",
12006006,   "http://sgpc.net/puratan-kirtan/chater singh/Amrita priya bachan tumare.mp3",
5874544,   "http://sgpc.net/puratan-kirtan/chater singh/Amrit vele uth jaag jagaya.mp3",
24211668,   "http://sgpc.net/puratan-kirtan/chater singh/Apne rang sabh ko rache.mp3",
7813039,   "http://sgpc.net/puratan-kirtan/chater singh/Apne sevak ki aape raakhe.mp3",
10513473,   "http://sgpc.net/puratan-kirtan/chater singh/Baaba bikh dekhiya sansaar.mp3",
5803073,   "http://sgpc.net/puratan-kirtan/chater singh/Babul mera vad samratha.mp3",
7260079,   "http://sgpc.net/puratan-kirtan/chater singh/Birtha kaho kavan sio man ki.mp3",
5269757,   "http://sgpc.net/puratan-kirtan/chater singh/Eh doe naina mat chooho.mp3",
7698936,   "http://sgpc.net/puratan-kirtan/chater singh/Eho dhan mere har ko nao.mp3",
15467961,   "http://sgpc.net/puratan-kirtan/chater singh/Eti maar pyee kurlaane .mp3",
10418179,   "http://sgpc.net/puratan-kirtan/chater singh/Gaiyea raat dinant gavan jogiya.mp3",
10835720,   "http://sgpc.net/puratan-kirtan/chater singh/Gobind bhajan bin jhoote sabh kaam.mp3",
4111592,   "http://sgpc.net/puratan-kirtan/chater singh/Gur data gur heeve dhar.mp3",
12630019,   "http://sgpc.net/puratan-kirtan/chater singh/Gur jaisa nahee ko dev.mp3",
6409114,   "http://sgpc.net/puratan-kirtan/chater singh/Gur poore meri raakh laye.mp3",
6038384,   "http://sgpc.net/puratan-kirtan/chater singh/Ha ha prabh raakh laho.mp3",
22981196,   "http://sgpc.net/puratan-kirtan/chater singh/Hamra dhan madho gobind.mp3",
4261640,   "http://sgpc.net/puratan-kirtan/chater singh/Har har naam nidhan hai 1.mp3",
24390554,   "http://sgpc.net/puratan-kirtan/chater singh/Haun vanjhan kurbaan sayeen aapne.mp3",
12030247,   "http://sgpc.net/puratan-kirtan/chater singh/Ik daate ik mangte.mp3",
10681493,   "http://sgpc.net/puratan-kirtan/chater singh/Is jug meh raam naam nistara.mp3",
16463122,   "http://sgpc.net/puratan-kirtan/chater singh/Is paani se jin tu ghariya.mp3",
5571733,   "http://sgpc.net/puratan-kirtan/chater singh/Jai Kul Poot Na Gian Vichari.mp3",
